event_id,channel_idx,dist_deg,p_max_amp,s_max_amp,depth_km
ak0237eejw69_TERRA.h5,1580,2.913870037915594,4.489440568155352,0.755224922285855,31.4
ak0237eejw69_TERRA.h5,1600,2.9155673317030186,4.412279298914437,0.8086311673667061,31.4
ak0237eejw69_TERRA.h5,1620,2.9172646488088976,4.37028938480927,0.8415933081744413,31.4
ak0237eejw69_TERRA.h5,1640,2.9189619895633503,4.5427121273539885,1.182984893063565,31.4
ak0237eejw69_TERRA.h5,1660,2.920659354296687,4.870919210561646,0.801928617667917,31.4
ak0237eejw69_TERRA.h5,1680,2.9223567421652312,5.01839700623377,0.8997389040284646,31.4
ak0237eejw69_TERRA.h5,1700,2.924054153936672,4.3303418170683985,0.9805460002175486,31.4
ak0237eejw69_TERRA.h5,1720,2.925751589135978,3.279320625243264,0.8553033815116484,31.4
ak0237eejw69_TERRA.h5,1740,2.9274490477940156,1.9748297982814937,0.5506895937137926,31.4
ak0237eejw69_TERRA.h5,1760,2.929146529873082,1.7244642913196757,0.4273242042721705,31.4
ak0237eejw69_TERRA.h5,1780,2.930844035266905,2.921739195811744,0.7690936559942979,31.4
ak0237eejw69_TERRA.h5,1800,2.932541563937933,2.729878375903039,0.4424935896406053,31.4
ak0237eejw69_TERRA.h5,1820,2.934239115848748,2.5653434876876893,0.3365654627556234,31.4
ak0237eejw69_TERRA.h5,1840,2.935936691399348,3.46342116918391,0.41643230773831397,31.4
ak0237eejw69_TERRA.h5,1860,2.9376342896777974,1.7293872908564534,0.34065801364326764,31.4
ak0237eejw69_TERRA.h5,1880,2.9393319115216445,1.850835182099778,0.2841647168941812,31.4
ak0237eejw69_TERRA.h5,1900,2.9410295563878197,1.5232097558182178,0.24462176607864805,31.4
ak0237eejw69_TERRA.h5,1920,2.9427272243765894,1.5552311270251755,0.23607072041917138,31.4
ak0237eejw69_TERRA.h5,1940,2.9444249153137707,2.563130580357792,0.34218042076709,31.4
ak0237eejw69_TERRA.h5,1960,2.946122629231188,2.4387892415154364,0.31732254737097193,31.4
ak0237eejw69_TERRA.h5,1980,2.9478203663923463,4.160512686193243,0.23831552685746635,31.4
ak0237eejw69_TERRA.h5,2000,2.949518126160105,1.3663856424062721,0.19508899393576756,31.4
